price,sqft,bedroom,bathroom,balcony,age,flooring,furnishing,facing,parking,gated_security,amenities,locality,Children,Club,Fire,Gas,Gym,Intercom,Internet,Lift,Park,Security,Sewage,Shopping,Swimming,Visitor,price/sqft
7500000,1260,3,2,1,5,1,1,2,2,1,1,Banashankari,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5952.380952
17700000,1540,3,3,2,3,1,2,2,2,1,4,Banashankari,0,0,0,0,1,1,0,0,1,1,0,0,0,0,11493.50649
10200000,2100,4,1,1,4,0,2,2,1,0,1,Banashankari,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4857.142857
14500000,1940,3,2,2,4,1,2,2,2,0,1,Banashankari,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7474.226804
36000000,6386,3,12,8,4,0,2,2,2,0,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5637.331663
11000000,1275,2,2,1,2,1,2,2,2,1,8,Banashankari,0,1,1,0,1,1,1,1,0,1,1,0,0,0,8627.45098
30000000,3000,4,3,2,4,0,2,2,0,0,1,Banashankari,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10000
10000000,500,4,1,0,1,0,2,2,3,0,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
6250000,925,2,2,1,5,1,1,2,2,1,2,Banashankari,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6756.756757
16000000,2400,3,4,2,3,0,3,4,1,0,2,Banashankari,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6666.666667
18000000,2500,4,4,3,4,0,2,2,3,0,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200
10000000,1000,2,2,1,3,0,3,4,2,1,7,Basavangudi,1,0,0,1,1,0,0,1,1,1,1,0,0,0,10000
6800000,450,1,1,0,3,4,2,1,2,1,7,Basavangudi,1,0,0,1,1,0,0,1,1,1,1,0,0,0,15111.11111
8500000,1800,2,1,0,3,0,1,2,0,0,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4722.222222
64000000,3198,4,4,2,3,3,2,2,2,1,10,Basavangudi,0,0,1,1,1,1,1,1,0,1,1,1,0,1,20012.50782
3300000,2347,3,2,1,1,3,2,3,0,1,3,Basavangudi,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1406.050277
4500000,950,2,2,0,4,1,2,2,0,0,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4736.842105
13000000,1350,3,3,2,4,4,2,8,2,1,1,Basavangudi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9629.62963
66000000,2200,4,5,0,4,0,2,2,2,0,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000
7800000,2400,4,5,0,4,0,0,3,3,0,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3250
65100000,3000,4,3,1,4,0,1,3,2,0,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21700
20000000,1681,3,3,1,5,3,1,3,1,1,8,Basavangudi,1,0,1,1,0,0,0,1,1,1,1,0,0,1,11897.67995
15000000,1050,2,2,1,4,1,3,2,1,1,3,Basavangudi,0,0,1,0,0,0,0,1,0,1,0,0,0,0,14285.71429
11000000,860,2,2,3,4,1,2,3,0,0,1,Basavangudi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12790.69767
21600000,900,3,2,0,3,0,2,4,3,0,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000
21000000,1540,3,3,0,3,0,2,3,1,1,1,Basavangudi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13636.36364
7200000,1250,3,2,0,4,0,2,2,0,0,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5760
85000000,3600,4,4,4,5,3,1,1,1,1,14,Basavangudi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23611.11111
22000000,882,2,1,0,4,0,1,2,2,0,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24943.31066
7500000,770,2,1,0,4,1,2,5,3,0,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9740.25974
45000000,3150,4,3,1,1,1,1,3,1,1,12,Basavangudi,1,1,1,1,1,1,1,1,0,1,1,0,1,1,14285.71429
15000000,1000,2,1,0,4,3,2,1,3,1,2,Basavangudi,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15000
62500000,3850,4,6,6,5,3,3,3,2,0,6,Basavangudi,1,1,0,0,1,1,0,1,0,0,0,0,1,0,16233.76623
25000000,2100,3,2,2,4,2,2,1,2,1,7,Basavangudi,1,0,1,0,0,1,0,1,1,1,0,0,0,1,11904.7619
50000000,3000,3,4,4,5,3,3,2,2,0,5,Basavangudi,1,1,0,0,0,1,0,1,0,0,0,0,1,0,16666.66667
32000000,3000,4,4,0,3,0,0,2,2,0,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10666.66667
15000000,1200,2,2,2,4,0,2,2,1,1,12,Bellandur,1,1,1,1,1,1,1,1,1,1,0,0,1,1,12500
21000000,1591,3,2,2,1,3,2,8,2,1,2,Bellandur,0,0,0,0,1,0,0,0,0,1,0,0,0,0,13199.24576
19000000,1278,2,2,2,3,1,3,2,1,1,12,Bellandur,1,1,1,0,1,1,1,1,1,1,0,1,1,1,14866.97966
